City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Kavieng,PG,2022-11-23 22:45:22,-2.5744,150.7967,84.74,60,57,11.81
102,Stolin,BY,2022-11-23 22:45:22,51.8912,26.846,26.58,91,100,8.59
103,Ahuimanu,US,2022-11-23 22:45:22,21.4447,-157.8378,83.91,58,100,11.5
104,Mercedes,AR,2022-11-23 22:45:23,-34.6515,-59.4307,85.03,25,0,8.88
105,Skovorodino,RU,2022-11-23 22:45:23,53.9833,123.9167,-7.38,98,91,2.89
106,Nouadhibou,MR,2022-11-23 22:45:24,20.931,-17.0347,67.98,77,0,16.11
107,Pervomayskoye,RU,2022-11-23 22:45:24,43.919,46.7102,46.18,63,4,6.89
108,Santa Rosa,PH,2022-11-23 22:45:24,14.3122,121.1114,82.02,84,83,7.78
109,Souillac,MU,2022-11-23 22:45:25,-20.5167,57.5167,73.78,88,40,6.91
110,Flagstaff,US,2022-11-23 22:43:25,35.1981,-111.6513,52.52,22,0,10.36
111,Port Alfred,ZA,2022-11-23 22:45:25,-33.5906,26.891,65.17,88,47,3.0
112,Ruteng,ID,2022-11-23 22:45:26,-8.6136,120.4721,67.28,77,100,0.69
113,Gaoyou,CN,2022-11-23 22:45:26,32.7858,119.4278,54.63,87,88,6.91
114,Churapcha,RU,2022-11-23 22:45:27,62.0025,132.4325,-18.71,99,100,1.03
115,Hamilton,US,2022-11-23 22:43:07,39.1834,-84.5333,53.04,47,0,4.61
116,Nanortalik,GL,2022-11-23 22:45:27,60.1432,-45.2371,30.87,73,100,10.36
117,Grand Gaube,MU,2022-11-23 22:45:28,-20.0064,57.6608,76.37,71,1,5.99
118,Batticaloa,LK,2022-11-23 22:45:28,7.7102,81.6924,77.86,81,100,1.5
119,Fort Nelson,CA,2022-11-23 22:45:28,58.8053,-122.7002,26.94,73,75,0.0
120,Novoselytsya,UA,2022-11-23 22:45:29,48.2193,26.2653,38.57,100,100,4.14
121,Barrow,US,2022-11-23 22:45:29,71.2906,-156.7887,8.62,78,100,6.91
122,Evensk,RU,2022-11-23 22:45:30,61.95,159.2333,2.35,82,100,9.37
123,Honningsvag,NO,2022-11-23 22:45:30,70.9821,25.9704,26.35,80,0,28.77
124,La Colorada,PA,2022-11-23 22:45:31,8.0167,-80.9833,75.06,88,60,5.17
125,East London,ZA,2022-11-23 22:45:31,-33.0153,27.9116,70.16,82,54,22.41
126,Wrexham,GB,2022-11-23 22:45:31,53.0,-3.0,47.05,92,100,13.42
127,Khatanga,RU,2022-11-23 22:45:32,71.9667,102.5,-41.17,100,70,0.18
128,Katsuura,JP,2022-11-23 22:45:32,35.1333,140.3,60.6,67,22,18.3
129,Esperance,AU,2022-11-23 22:45:32,-33.8667,121.9,74.26,42,91,18.28
130,Lagos,NG,2022-11-23 22:42:33,6.5833,3.75,76.96,89,4,2.89
131,Haines Junction,CA,2022-11-23 22:45:33,60.7522,-137.5108,24.75,93,100,0.0
132,La Ronge,CA,2022-11-23 22:45:33,55.1001,-105.2842,39.45,52,20,10.36
