City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Airai,TL,-8.9266,125.4092,61.41,87,100,0.47,overcast clouds
143,Berlevag,NO,70.8578,29.0864,30.2,80,20,13.8,few clouds
144,Thompson,CA,55.7435,-97.8558,24.96,86,100,8.05,light snow
145,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,40,11.5,scattered clouds
146,Upernavik,GL,72.7868,-56.1549,12.0,92,100,11.39,overcast clouds
147,Ixtapa,MX,20.7,-105.2,85.51,47,7,6.08,clear sky
148,Yangambi,CD,0.8102,24.4336,68.56,98,100,1.07,overcast clouds
149,Chapais,CA,49.7834,-74.8492,29.98,95,100,9.19,overcast clouds
150,Acapulco,MX,16.8634,-99.8901,84.7,65,6,6.71,clear sky
151,Letnica,PL,51.8981,15.333,43.32,70,81,3.13,broken clouds
152,Nantucket,US,41.2835,-70.0995,51.94,53,0,16.11,clear sky
153,Takaka,NZ,-40.85,172.8,54.55,95,100,0.63,light rain
154,Daan,CN,33.0558,106.2958,52.88,87,80,1.36,broken clouds
155,Paungde,MM,18.4833,95.5,73.11,87,100,1.16,overcast clouds
156,Riyadh,SA,24.6877,46.7219,75.34,34,0,8.88,clear sky
157,Burriana,ES,39.889,-0.085,57.67,67,79,3.36,broken clouds
158,Saldanha,ZA,-33.0117,17.9442,60.85,72,0,30.0,clear sky
159,Ribeira Grande,PT,38.5167,-28.7,59.4,67,20,9.22,few clouds
160,Narsaq,GL,60.9167,-46.05,23.36,75,87,6.85,overcast clouds
161,Kholodnyy,RU,62.7167,147.95,-34.69,99,76,2.15,broken clouds
162,Sobolevo,RU,54.4299,31.8996,31.23,98,100,10.38,light snow
163,Fare,PF,-16.7,-151.0167,78.76,72,11,11.27,few clouds
164,Lexington,US,37.9887,-84.4777,57.42,49,0,5.75,clear sky
165,Belyy Yar,RU,53.6039,91.3903,-11.15,73,40,4.47,scattered clouds
166,Port Moresby,PG,-9.4431,147.1797,72.82,100,40,5.75,scattered clouds
167,Cayenne,GF,4.9333,-52.3333,78.84,89,75,8.05,broken clouds
168,Bolshoye Selo,RU,57.7177,38.9334,10.13,97,75,5.17,broken clouds
169,Torbay,CA,47.6666,-52.7314,39.76,89,100,20.71,overcast clouds
170,Tuljapur,IN,18.0,76.0833,70.38,54,0,8.72,clear sky
171,Monrovia,LR,6.3005,-10.7969,79.18,80,44,8.01,scattered clouds
172,Shakawe,BW,-18.3667,21.85,73.63,61,68,5.23,broken clouds
173,Bethel,US,41.3712,-73.414,55.02,43,0,7.0,clear sky
174,Yabassi,CM,4.457,9.9682,75.38,93,92,0.89,overcast clouds
175,Jiuquan,CN,39.7432,98.5174,33.76,35,100,3.65,overcast clouds
176,Manicore,BR,-5.8092,-61.3003,85.95,74,40,3.44,scattered clouds
177,Iquique,CL,-20.2208,-70.1431,69.84,71,22,8.23,few clouds
178,Fort-Shevchenko,KZ,44.5086,50.263,49.32,56,100,19.69,overcast clouds
179,Belaya Gora,RU,68.5333,146.4167,-33.63,100,97,3.58,overcast clouds
180,Khandyga,RU,62.6667,135.6,-52.11,100,64,0.72,broken clouds
181,Emerald,AU,-23.5333,148.1667,71.35,58,99,9.6,overcast clouds
182,Port Hardy,CA,50.6996,-127.4199,44.78,100,100,5.75,moderate rain
183,Taltal,CL,-25.4,-70.4833,69.21,68,24,7.47,few clouds
184,Semey,KZ,50.4111,80.2275,-14.71,97,98,5.57,overcast clouds
185,Miramar,US,25.9873,-80.2323,87.8,70,20,11.5,few clouds
186,Saint-Joseph,RE,-21.3667,55.6167,71.98,73,34,9.46,scattered clouds
187,San Patricio,US,28.017,-97.5169,67.91,48,0,17.67,clear sky
188,Oriximina,BR,-1.7656,-55.8661,87.24,58,99,2.39,moderate rain
189,Tranas,SE,58.0372,14.9782,30.38,95,100,2.51,overcast clouds
190,Igarka,RU,67.4667,86.5833,-12.48,99,100,6.13,overcast clouds
191,Tabou,CI,4.423,-7.3528,78.71,83,8,5.68,clear sky
192,Gorom-Gorom,BF,14.4439,-0.2361,79.18,14,34,9.1,scattered clouds
